COUNTY,LATITUDE,LONGITUDE
Cowley,37.2377526609,-96.8374891769
Marion,38.3588724365,-97.0968903589
Allen,37.8857349436,-95.3013889295
Clay,39.3497164186,-97.1651722307
Saline,38.7838065024,-97.6499306446
Chautauqua,37.1500572155,-96.2453782628
Cheyenne,39.7858693359,-101.731104218
Logan,38.9173365456,-101.148391114
Sheridan,39.3503577669,-100.441832361
Decatur,39.7847564917,-100.459899544
Lyon,38.4561871377,-96.1526397502
Sumner,37.2372753377,-97.4765502094
Stanton,37.5630613882,-101.784183191
Rice,38.3471428738,-98.2010299558
Ness,38.4794187776,-99.9161797856
Gray,37.7381978567,-100.437862948
Hamilton,37.9991525438,-101.791256465
Johnson,38.8837685125,-94.8222610425
Norton,39.7843853292,-99.9034768772
Atchison,39.5317400033,-95.3134446486
Jewell,39.7847320849,-98.2183408742
Graham,39.349716037,-99.8832526271
Lincoln,39.0453280683,-98.2076985187
Chase,38.3020458533,-96.593928638
Stevens,37.1923179509,-101.312046958
Thomas,39.3509686024,-101.055531285
Ottawa,39.132537495,-97.6502157692
Kiowa,37.5582639151,-99.2860476017
Rooks,39.3502287543,-99.3250571176
Pratt,37.6477353374,-98.7395957092
Linn,38.2122718972,-94.8429319755
Marshall,39.7836260546,-96.5229367542
Osage,38.6523289215,-95.726945141
Douglas,38.8846594528,-95.2926063049
Neosho,37.55848541,-95.3067923129
Brown,39.8264989183,-95.5642196557
Grant,37.5621932698,-101.308021268
McPherson,38.3916666453,-97.6480798696
Morris,38.6874292494,-96.6498496136
Hodgeman,38.0874838474,-99.897935995
Ellis,38.9147512529,-99.3172316232
Rush,38.5231613136,-99.3092409497
Franklin,38.5645174515,-95.2859482396
Barber,37.2288385526,-98.684790626
Rawlins,39.785240911,-101.075705109
Stafford,38.0309985368,-98.7174450154
Montgomery,37.1925238004,-95.7428780841
Reno,37.9529528516,-98.0860066564
Lane,38.4813047182,-100.466398449
Crawford,37.5073151069,-94.8518113711
Clark,37.2355230437,-99.8203076918
Wabaunsee,38.9532912889,-96.2050045391
Doniphan,39.7880806129,-95.1467942431
Woodson,37.886670206,-95.7401677072
Geary,39.0023855083,-96.7525021968
Barton,38.4789639679,-98.756464293
Butler,37.7812707517,-96.8390654617
Ford,37.6917036301,-99.8879423784
Bourbon,37.8552256175,-94.8492968396
Harvey,38.0432184802,-97.4272714417
Finney,38.0443048231,-100.736990786
Leavenworth,39.1993345198,-95.0379114409
Wallace,38.9166611398,-101.763574005
Gove,38.9160955531,-100.48290474
Seward,37.1933028033,-100.851287248
Ellsworth,38.696627674,-98.204730294
Wichita,38.4820845404,-101.34735565
Jackson,39.416820119,-95.793663658
Pawnee,38.181330775,-99.2367293489
Wyandotte,39.1146453374,-94.7644784215
Jefferson,39.2357647667,-95.383448733
Kingman,37.5588848204,-98.1363325923
Greeley,38.4805374528,-101.805968435
Pottawatomie,39.3790027809,-96.3423649942
Comanche,37.1912804013,-99.2718714746
Cloud,39.4802974375,-97.6492819059
Coffey,38.2368379381,-95.7341117812
Anderson,38.2142048256,-95.2933285252
Republic,39.8277963216,-97.6506227728
Cherokee,37.1693060628,-94.8462689731
Morton,37.1913959707,-101.799252231
Elk,37.4536881105,-96.2440866545
Greenwood,37.8777875638,-96.2326356698
Labette,37.1913273481,-95.297576142
Mitchell,39.3932659263,-98.2093648177
Wilson,37.5592414881,-95.7433888048
Harper,37.191604867,-98.0754955835
Washington,39.7842012909,-97.0875435237
Miami,38.5635832261,-94.838056975
Sedgwick,37.6847615589,-97.4609686791
Phillips,39.7845831125,-99.347022123
Riley,39.2965532011,-96.7351769755
Russell,38.9147788411,-98.7623510222
Osborne,39.3503339996,-98.7679898039
Edwards,37.887648789,-99.3121708301
Sherman,39.3514336872,-101.719980701
Shawnee,39.0415137637,-95.7565342577
Smith,39.785156359,-98.7854727927
Trego,38.9143249144,-99.8727358362
Kearny,38.00019653,-101.31986081
Haskell,37.5622507408,-100.871191808
Scott,38.482169359,-100.906858956
Dickinson,38.8665005829,-97.152702787
Nemaha,39.7834476063,-96.0141016624
Meade,37.2381964095,-100.36618026
